incident_id,date,n_killed,n_injured,latitude,longitude,n_guns_involved,participan_age,participant_gendre,participant_status,,,,,,,,,,,,,,,,,,,,,,,,,,
154018,27/05/2014,0,0,0.499019824,0.803596252,1,0::75,0::Male,0::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
145026,27/05/2014,0,0,0.619086411,0.926285107,1,1::20,0::Male||1::Male||2::Male,0::Unharmed||1::Unharmed||2::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
142510,27/05/2014,0,0,0.482117366,0.809644436,1,0::27,0::Male,"0::Unharmed, Arrested",,,,,,,,,,,,,,,,,,,,,,,,,,
140217,27/05/2014,0,0,0.515170788,0.530138597,0,2::15,0::Female||1::Male||2::Male,0::Unharmed||1::Unharmed||2::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
203830,27/05/2014,0,1,0.585104401,0.883770742,1,1::21,0::Male||1::Male,"0::Injured||1::Unharmed, Arrested",,,,,,,,,,,,,,,,,,,,,,,,,,
140300,27/05/2014,0,1,0.539026107,0.764867304,2,1::20,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
935915,27/05/2014,1,0,0.582729802,0.421973231,1,0::37||1::40,0::Male,"0::Killed||1::Unharmed, Arrested",,,,,,,,,,,,,,,,,,,,,,,,,,
261929,27/05/2014,0,0,0.61592798,0.921640814,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140497,27/05/2014,0,0,0.61155607,0.916071904,1,1::20,0::Male,0::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
295616,27/05/2014,0,1,0.528318855,0.829677455,1,0::17||1::18,0::Male||1::Male,"0::Injured||1::Unharmed, Arrested",,,,,,,,,,,,,,,,,,,,,,,,,,
140013,27/05/2014,1,0,0.557177462,0.433891461,0,0::20,0::Male,0::Killed,,,,,,,,,,,,,,,,,,,,,,,,,,
139672,27/05/2014,1,0,0.557177462,0.433891461,2,1::20,0::Male||1::Male,0::Unharmed||1::Killed,,,,,,,,,,,,,,,,,,,,,,,,,,
